Place URL,Place Name,avg_rating,Reviewer Name,Rating,Review Date,Review URL,Review Text
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Krisha Creation,5 stars,2023-06-09,https://maps.app.goo.gl/KWmZ7nUKsrFpgRXK8,"  Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Ashutosh Reddy,4 stars,2023-04-09,https://maps.app.goo.gl/huzGeorQ6Vijxv6z6,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,ritesh desai,5 stars,2023-06-09,https://maps.app.goo.gl/QimQEG4ZDt9KNZ7w8,"  Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Reeta Patel,5 stars,2023-12-09,https://maps.app.goo.gl/z8P7G6sb4NSXkaRp9,"  Meal type: Dinner, Price per person: ₹2,000+, Food: 5, Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Can I Help U ?,5 stars,2024-03-26,https://maps.app.goo.gl/L6JhFcq89w8NHeFQ6,"  Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Vinit Patel,1 star,2024-03-09,https://maps.app.goo.gl/W8vKbAWQWFEL4Eb68,"  Service: 5, Atmosphere: 1"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Purvesh Adua,5 stars,2023-04-09,https://maps.app.goo.gl/raovFe1MQcwSzdQX6,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Deepak Chhajer (Dcjx club),4 stars,2024-01-09,https://maps.app.goo.gl/f2dn9W8Ujmvdub8A6,"  Service: 4, Atmosphere: 3"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Kautik Luwani,4 stars,2023-09-09,https://maps.app.goo.gl/zyvA4fYUkCDtKxqeA,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,R kumar R kumar,5 stars,2024-01-09,https://maps.app.goo.gl/MQQ2xbusVGVEHVtX8,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Shahzad Ali,1 star,2023-04-09,https://maps.app.goo.gl/sBRpHJ4tg4g2a3ra6,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Mukesh Pasiyawala,1 star,2023-12-09,https://maps.app.goo.gl/EjmVfABkL75CMVZZA,"  Service: 4, Atmosphere: 3"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Hemant Lakdawala,5 stars,2024-02-09,https://maps.app.goo.gl/G7G8PpjsUtLoxgUU7,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,HADA YOGRAJSINH,5 stars,2023-11-09,https://maps.app.goo.gl/83XbjQMPMaP9qrr87,"  Service: 5, Atmosphere: 5"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Ankit Shukla,4 stars,2023-12-09,https://maps.app.goo.gl/KY3UzGYthfrdpoPV9,"  Service: 5, Atmosphere: 4"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Jagdish Sain,5 stars,2023-07-09,https://maps.app.goo.gl/2RLM4Uoh4hqVrxcAA,  
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,RAHUL BHOJ,5 stars,2023-08-09,https://maps.app.goo.gl/ayCN9S7bNx1uEaKC6,"  Service: 4, Atmosphere: 4"
https://www.google.com/maps/place/Satkar+Restaurant/data=!4m7!3m6!1s0x3be04f237b521f13:0x5397153e10d04762!8m2!3d21.1689004!4d72.8398849!16s%2Fg%2F11rmtllz40!19sChIJEx9SeyNP4DsRYkfQED4Vl1M?authuser=0&hl=en&rclk=1,Satkar Restaurant,4.1,Budharam Bishnoi,5 stars,2023-04-09,https://maps.app.goo.gl/X7AzsgQtD7PF52x38,  
